Campaign,Ad Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Status
Counties South,Surrey,Photo Booth Hire Surrey,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,Serving All Surrey,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire across Surrey. Guildford Woking Epsom Reigate and more. Premium Booths. Get Your Free Quote Today!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Setup. Call 07368 631 516 or WhatsApp for a Free Quote.",LCD SlimPod from £239. Magic Mirror and Inflatable Booth available. Unlimited prints and props included.,Perfect for weddings parties and corporate events. 500+ events covered. Professional attendant on-site.,https://boothdrop.co.uk,surrey,booths,Active
Counties South,Sussex,Photo Booth Hire Sussex,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,West Sussex Coverage,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire in West Sussex. Crawley Horsham Worthing and more. 7 Premium Booth Types. Get Your Free Quote Today!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Delivery. Call 07368 631 516 for Your Free Quote.",Unlimited prints guest book and props included. Professional attendant on-site for your entire event.,Weddings Birthdays Corporate Events and More. 500+ Events Covered. WhatsApp us for instant response!,https://boothdrop.co.uk,sussex,booths,Active
Counties West & North,Oxfordshire,Photo Booth Hire Oxford,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,Oxfordshire Coverage,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire in Oxfordshire. Oxford Banbury Bicester and more. Magic Mirror LCD SlimPod and Inflatable Booth Available!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Setup. Call 07368 631 516 for Your Free Quote Today.",7 premium booth types from £239. Guest book props unlimited prints and professional attendant all included.,Weddings Birthdays Corporate Events and More. 500+ Events Covered. WhatsApp us for instant response!,https://boothdrop.co.uk,oxford,booths,Active
Counties West & North,Berkshire,Photo Booth Hire Berkshire,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,Berkshire Coverage,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire across Berkshire. Reading Slough Windsor Maidenhead and more. 7 Booth Types. Get Your Free Quote!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Setup. Call 07368 631 516 for Your Free Quote Today.",LCD SlimPod from £239. Inflatable Booth fits 10 guests. Magic Mirror perfect for weddings and events.,Serving all Berkshire areas. Weddings Parties and Corporate Events. 500+ events covered. Book now!,https://boothdrop.co.uk,berkshire,booths,Active
Counties West & North,Hampshire,Photo Booth Hire Hampshire,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,Hampshire Coverage,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire across Hampshire. Southampton Portsmouth Basingstoke Winchester. 7 Booth Types Available!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Delivery. Call 07368 631 516 for Your Free Quote.",Premium photo booths from £239. Unlimited prints guest book props and professional attendant included.,Weddings Birthdays Corporate Events and More. 500+ Events Covered. Get your free quote today!,https://boothdrop.co.uk,hampshire,booths,Active
Counties West & North,Cambridgeshire,Photo Booth Hire Cambridge,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,Cambridgeshire Coverage,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire in Cambridgeshire. Cambridge Peterborough Huntingdon. LCD SlimPod Magic Mirror and More!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Setup. Call 07368 631 516 for Your Free Quote Today.",7 booth types from £239. Guest book props unlimited prints and professional attendant all included.,Weddings Birthdays Corporate Events and More. 500+ Events Covered. WhatsApp us for instant response!,https://boothdrop.co.uk,cambridge,booths,Active
Counties West & North,Nottinghamshire,Photo Booth Hire Nottingham,⭐ 5-Star Rated Service,From Just £239,Free Setup & Delivery,Book 3hrs Get 1hr FREE,7 Booth Types Available,Unlimited Prints & Props,Professional Attendant,Fully Insured Service,Mon-Thu Get 5% Off,Nottinghamshire Area,Magic Mirror Available,Call 07368 631 516,WhatsApp Us Now,Book Your Booth,"Photo Booth Hire in Nottinghamshire. Nottingham Mansfield and surrounding areas. 7 Premium Booth Types Available!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Fully Insured. Free Setup. Call 07368 631 516 for Your Free Quote Today.",LCD SlimPod from £239. Magic Mirror and Inflatable Booth available. Unlimited prints and props included.,Weddings Birthdays Corporate Events and More. 500+ Events Covered. Get your free quote now!,https://boothdrop.co.uk,nottingham,booths,Active
Weddings,Wedding + Location,Wedding Photo Booth Hire,Make Your Day Magical,From Just £239,⭐ 5-Star Wedding Reviews,Free Delivery & Setup,Guest Book Included,Magic Mirror Available,Unlimited Photo Sessions,Book 3hrs Get 1hr FREE,Professional Attendant,Fully Insured Service,7 Booth Types Available,Custom Print Templates,Call 07368 631 516,Serving London & SE,"Stunning Photo Booth Hire for Your Wedding Day. Magic Mirror Selfie Pod and LCD SlimPod. Guest Book and Unlimited Prints!","500+ Weddings and Events Covered. Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Call 07368 631 516 for a Free Quote.",Make your wedding unforgettable. Personalised templates instant prints and props for all guests. Free delivery.,Covering London Essex Kent Surrey Herts Beds Bucks Berks Oxon Hants Cambs and Notts. Book now!,https://boothdrop.co.uk/booths/magic-mirror.html,wedding,booths,Active
Weddings,Wedding General,Wedding Photo Booth Hire,Make Your Day Unforgettable,⭐ 500+ Events Covered,From Just £239,Magic Mirror & Selfie Pod,Free Delivery & Setup,Unlimited Prints Included,Guest Book & Props Incl,Book 3hrs Get 1hr FREE,Professional Attendant,Custom Print Templates,Fully Insured Service,7 Booth Types Available,Call 07368 631 516,Book Your Free Quote,"Wedding Photo Booth Hire. Elegant Magic Mirror and Selfie Mirror Pod. Personalised Templates Unlimited Prints and Props!","5-Star Rated. 500+ Events. Book 3 Hours Get 1 FREE! Free Setup and Delivery. Call 07368 631 516 for Your Free Quote.",Choose from 7 stunning booth types. LCD SlimPod from £239. Guest book props and attendant all included.,Covering all of London and the Home Counties. Get your free no-obligation quote today!,https://boothdrop.co.uk/booths/magic-mirror.html,wedding,booths,Active
Events & Booth Types,Event Types,Party Photo Booth Hire,Book 3 Hours Get 1 FREE,From Just £239,Birthdays Proms & More,⭐ 5-Star Rated Service,7 Booth Types Available,Free Delivery & Setup,Unlimited Photo Sessions,Professional Attendant,Inflatable Booth 10ppl,Props & Guest Book Incl,GIFs & Instant Prints,Mon-Thu Get 5% Off,Call 07368 631 516,WhatsApp Us Now,"Photo Booth Hire for Birthdays Proms Corporate Events and More! 7 Booth Types. Unlimited Prints. Professional Attendant!","Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. LCD SlimPod from £239. Free Delivery and Setup. Call 07368 631 516 Today!",Inflatable Booth fits 10 people! Perfect for large parties. GIFs and instant prints for all guests. Fully insured.,Covering London and the Home Counties. Props box and guest book included. Get your free quote now!,https://boothdrop.co.uk,events,hire,Active
Events & Booth Types,Booth Types,Magic Mirror Hire From £239,LCD SlimPod Most Popular,Inflatable Booth 10 Guests,Selfie Mirror Pod Hire,⭐ 5-Star Rated Service,7 Booth Types Available,Free Delivery & Setup,Unlimited Prints Included,Retro Pod Available,GIF Booth Hire,Book 3hrs Get 1hr FREE,Professional Attendant,Props & Guest Book Incl,360 Photo Booth Hire,Call 07368 631 516,"7 Premium Photo Booth Types for Hire. LCD SlimPod Magic Mirror Selfie Pod Inflatable Retro GIF and Party Booth. Book Now!","From £239. Book 3 Hours Get 1 FREE! Mon-Thu 5% Off. Unlimited Prints and Props. Call 07368 631 516 for a Free Quote.",Each booth comes with professional attendant and free delivery. Guest book and custom print templates included.,Covering London Essex Kent Surrey Herts Beds Bucks and more. Get your free no-obligation quote!,https://boothdrop.co.uk/#booths,booth,types,Active
